run_id	train_energy	valid_energy	test_energy	total_energy	v_map@5	v_ndcg@5	v_prec@5	v_recall@5	v_map@10	v_ndcg@10	v_prec@10	v_recall@10	v_map@20	v_ndcg@20	v_prec@20	v_recall@20	v_map@50	v_ndcg@50	v_prec@50	v_recall@50	t_map@5	t_ndcg@5	t_prec@5	t_recall@5	t_map@10	t_ndcg@10	t_prec@10	t_recall@10	t_map@20	t_ndcg@20	t_prec@20	t_recall@20	t_map@50	t_ndcg@50	t_prec@50	t_recall@50
LATTICE-sports(883, 0.1, 3, 20, T)	0.3785694899396934	1.2111600806621046	1.2122274199290257	2.8019569905308237	0.0163	0.0203	0.0068	0.0303	0.0188	0.0265	0.0055	0.0491	0.0204	0.0335	0.0042	0.0792	0.0221	0.0442	0.0028	0.1333	0.0163	0.0203	0.0068	0.0303	0.0188	0.0265	0.0055	0.0491	0.0208	0.0342	0.0045	0.0792	0.0226	0.0455	0.0030	0.1351
VBPR-movielens_1m(883, 0.0001, I)	0.023279080739648055	0.007114454818511291	0.0070601087830616735	0.03745364434122102	0.1006	0.1696	0.1590	0.0670	0.0818	0.1704	0.1409	0.1150	0.0733	0.1751	0.1093	0.1889	0.0792	0.2185	0.0820	0.3305	0.1006	0.1696	0.1590	0.0670	0.0818	0.1704	0.1409	0.1150	0.0766	0.1860	0.1206	0.1889	0.0840	0.2332	0.0907	0.3337
VBPR-movielens_1m(883, 0.001, I)	0.02272172054821646	0.0070691199035445035	0.007107477855323512	0.036898318307084475	0.1009	0.1702	0.1595	0.0672	0.0822	0.1709	0.1413	0.1155	0.0736	0.1756	0.1094	0.1894	0.0796	0.2192	0.0822	0.3314	0.1009	0.1702	0.1595	0.0672	0.0822	0.1709	0.1413	0.1155	0.0769	0.1865	0.1208	0.1893	0.0843	0.2338	0.0908	0.3344
VBPR-movielens_1m(883, 0.01, I)	0.021451161070077898	0.006815160077509493	0.006847243990806391	0.03511356513839378	0.1030	0.1730	0.1617	0.0687	0.0833	0.1732	0.1430	0.1165	0.0759	0.1798	0.1113	0.1938	0.0822	0.2247	0.0840	0.3398	0.1030	0.1730	0.1617	0.0687	0.0833	0.1732	0.1430	0.1165	0.0781	0.1893	0.1230	0.1920	0.0859	0.2374	0.0926	0.3390
VBPR-movielens_1m(883, 0.1, I)	0.02296239632628174	0.007030258444201325	0.007049346302124946	0.037042001072608015	0.1161	0.1934	0.1794	0.0795	0.0959	0.1944	0.1579	0.1346	0.0856	0.1977	0.1197	0.2179	0.0934	0.2451	0.0888	0.3699	0.1161	0.1934	0.1794	0.0795	0.0959	0.1944	0.1579	0.1346	0.0910	0.2123	0.1339	0.2174	0.0999	0.2622	0.0982	0.3710
VBPR-movielens_1m(883, 0.0001, T)	0.022029997424073702	0.0065654063566351825	0.006481272955100249	0.03507667673580914	0.1205	0.1984	0.1851	0.0786	0.0981	0.1974	0.1625	0.1322	0.0856	0.1959	0.1205	0.2067	0.0927	0.2428	0.0900	0.3600	0.1205	0.1984	0.1851	0.0786	0.0981	0.1974	0.1625	0.1322	0.0917	0.2126	0.1358	0.2123	0.0999	0.2616	0.1000	0.3643
VBPR-movielens_1m(883, 0.001, T)	0.02152096756299414	0.006535170731974678	0.006517812561503463	0.03457395085647228	0.1206	0.1985	0.1851	0.0785	0.0982	0.1975	0.1624	0.1320	0.0858	0.1962	0.1206	0.2069	0.0929	0.2432	0.0901	0.3605	0.1206	0.1985	0.1851	0.0785	0.0982	0.1975	0.1624	0.1320	0.0917	0.2127	0.1358	0.2123	0.1000	0.2618	0.1000	0.3648
VBPR-movielens_1m(883, 0.01, T)	0.021539814436643507	0.006517280400333735	0.006525803391610574	0.034582898228587816	0.1216	0.2000	0.1867	0.0794	0.0989	0.1987	0.1632	0.1332	0.0867	0.1978	0.1214	0.2091	0.0939	0.2451	0.0906	0.3638	0.1216	0.2000	0.1867	0.0794	0.0989	0.1987	0.1632	0.1332	0.0926	0.2143	0.1366	0.2141	0.1012	0.2640	0.1007	0.3683
VBPR-movielens_1m(883, 0.1, T)	0.023862837176838975	0.007324089192126777	0.0073118648472452925	0.03849879121621104	0.1206	0.1998	0.1856	0.0835	0.1002	0.2024	0.1649	0.1421	0.0899	0.2039	0.1227	0.2223	0.0981	0.2527	0.0912	0.3795	0.1206	0.1998	0.1856	0.0835	0.1002	0.2024	0.1649	0.1421	0.0952	0.2200	0.1377	0.2258	0.1051	0.2723	0.1013	0.3854
FREEDOM-movielens_1m(883, 0.0001, 2, 2, T)	0.11603106258127095	0.012697089895379175	0.012608709746733608	0.14133686222338374	0.1356	0.2191	0.2040	0.0931	0.1129	0.2200	0.1773	0.1548	0.1014	0.2224	0.1307	0.2413	0.1100	0.2727	0.0958	0.4045	0.1356	0.2191	0.2040	0.0931	0.1129	0.2200	0.1773	0.1548	0.1074	0.2380	0.1480	0.2427	0.1171	0.2905	0.1071	0.4058
